"Summary","Project Name","Description","Issue Code","Severity","Remediation Guidance","Reference(s)","WCAG Success Criteria","Content-Type"
"HTML element must have a lang attribute","TaxSlayer-Login Page","  The <html> element does not have a lang attribute","<html style="""" class="" js flexbox flexboxlegacy canvas canvastext webgl no-touch geolocation postmessage no-websqldatabase indexeddb hashchange history draganddrop websockets rgba hsla multiplebgs backgroundsize borderimage borderradius boxshadow textshadow opacity cssanimations csscolumns cssgradients no-cssreflections csstransforms csstransforms3d csstransitions fontface generatedcontent video audio localstorage sessionstorage webworkers applicationcache svg inlinesvg smil svgclippaths"">","serious","Ensures every HTML document has a lang attribute","https://dequeuniversity.com/rules/axe/3.5/html-has-lang?application=axeAPI","3.1.1 Language of Page (Level A),","Forms "
"Form elements must have labels","TaxSlayer-Login Page","  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Form element does not have an implicit (wrapped) <label>
  Form element does not have an explicit <label>
  Element has no title attribute or the title attribute is empty","<input autocomplete=""username"" class=""form-control form-input"" data-val=""true"" data-val-required=""Username is required."" id=""user-text-field"" name=""Username"" type=""text"" value="""">","critical","Ensures every form element has a label","https://dequeuniversity.com/rules/axe/3.5/label?application=axeAPI","1.3.1 Info and Relationships (Level A),4.1.2 Name, Role, Value (Level A),","Forms Language and Content "
"Form elements must have labels","TaxSlayer-Login Page","  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Form element does not have an implicit (wrapped) <label>
  Form element does not have an explicit <label>
  Element has no title attribute or the title attribute is empty","<input autocomplete=""current-password"" class=""form-control form-input"" data-val=""true"" data-val-required=""Password is required."" id=""password-text-field"" name=""Password"" type=""password"">","critical","Ensures every form element has a label","https://dequeuniversity.com/rules/axe/3.5/label?application=axeAPI","1.3.1 Info and Relationships (Level A),4.1.2 Name, Role, Value (Level A),","Forms Language and Content "
"Links must have discernible text","TaxSlayer-Login Page","  Element is in tab order and does not have accessible text
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element's default semantics were not overridden with role=""presentation""
  Element's default semantics were not overridden with role=""none""","<a href=""https://www.taxslayer.com/"" class=""btn-oneclick"">
                <i class=""icon-taxslayer-logo ca-taxslayer-overwrite""></i>
            </a>","serious","Ensures links have discernible text","https://dequeuniversity.com/rules/axe/3.5/link-name?application=axeAPI","2.4.4 Link Purpose (In Context) (Level A),4.1.2 Name, Role, Value (Level A),","Dynamic Content Language and Content "
"Elements must have sufficient color contrast","TaxSlayer-User Console Page","  Element has insufficient color contrast of 4.12 (foreground color: #7a7d83, background color: #ffffff, font size: 12.0pt (16px), font weight: bold). Expected contrast ratio of 4.5:1","<a href="""" id=""lightning-view-btn"" role=""button"" tabindex=""0"" class=""btn btn-tertiary disabled"" disabled="""">View</a>","serious","Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds","https://dequeuniversity.com/rules/axe/3.5/color-contrast?application=axeAPI","1.4.3 Contrast (Minimum) (Level AA),","Color and CSS "
"id attribute value must be unique","TaxSlayer-User Console Page","  Document has multiple static elements with the same id attribute","<path d=""M8.99999979,12.3749999 C8.84474987,12.3749999 8.71874995,12.5009999 8.71874995,12.6562498 C8.71874995,12.8114997 8.84474987,12.9374996 8.99999979,12.9374996 C9.1552497,12.9374996 9.28124962,12.8114997 9.28124962,12.6562498 C9.28124962,12.5009999 9.1552497,12.3749999 8.99999979,12.3749999 L8.99999979,12.3749999"" id=""Path"">","minor","Ensures every id attribute value is unique","https://dequeuniversity.com/rules/axe/3.5/duplicate-id?application=axeAPI","4.1.1 Parsing (Level A),","Forms "
"Certain ARIA roles must be contained by particular parents","TaxSlayer-Message Centre Page","  Required ARIA parent role not present: row","<div role=""cell"" data-testid=""expandable-row-card"" msgid=""2da6433e-f36b-1410-8e1b-00b9e081b6d2"" id=""2da6433e-f36b-1410-8e1b-00b9e081b6d2"">","critical","Ensures elements with an ARIA role that require parent roles are contained by them","https://dequeuniversity.com/rules/axe/3.5/aria-required-parent?application=axeAPI","1.3.1 Info and Relationships (Level A),","Forms "
"Certain ARIA roles must be contained by particular parents","TaxSlayer-Message Centre Page","  Required ARIA parent role not present: row","<div role=""cell"" data-testid=""expandable-row-card"" msgid=""2da5433e-f36b-1410-8e1b-00b9e081b6d2"" id=""2da5433e-f36b-1410-8e1b-00b9e081b6d2"">","critical","Ensures elements with an ARIA role that require parent roles are contained by them","https://dequeuniversity.com/rules/axe/3.5/aria-required-parent?application=axeAPI","1.3.1 Info and Relationships (Level A),","Forms "
"Certain ARIA roles must be contained by particular parents","TaxSlayer-Message Centre Page","  Required ARIA parent role not present: row","<div role=""cell"" data-testid=""expandable-row-card"" msgid=""26a5433e-f36b-1410-8e1b-00b9e081b6d2"" id=""26a5433e-f36b-1410-8e1b-00b9e081b6d2"">","critical","Ensures elements with an ARIA role that require parent roles are contained by them","https://dequeuniversity.com/rules/axe/3.5/aria-required-parent?application=axeAPI","1.3.1 Info and Relationships (Level A),","Forms "
"Certain ARIA roles must be contained by particular parents","TaxSlayer-Message Centre Page","  Required ARIA parent role not present: row","<div role=""cell"" data-testid=""expandable-row-card"" msgid=""20a5433e-f36b-1410-8e1b-00b9e081b6d2"" id=""20a5433e-f36b-1410-8e1b-00b9e081b6d2"">","critical","Ensures elements with an ARIA role that require parent roles are contained by them","https://dequeuniversity.com/rules/axe/3.5/aria-required-parent?application=axeAPI","1.3.1 Info and Relationships (Level A),","Forms "
